idx,에너지(kcal),탄수화물(g),지방(g),식품명,단백질(g),1회제공량,당류(g),식이섬유(g),나트륨(mg)
0,423.85,18.56,29.56,BLT샌드위치,20.9,220.0,1.31,4.28,786.82
1,195.16,43.73,0.51,가래떡,3.92,100.0,0.0,0.61,240.57
2,204.63,0.92,2.78,가오리찜,43.98,200.0,0.11,4.86,302.21
3,186.62,14.6,2.66,가오리회무침,26.07,230.0,12.57,6.16,813.55
4,245.31,1.32,10.04,가자미구이,37.4,200.0,0.0,2.99,630.39
5,335.62,29.1,12.03,가자미식해,27.73,250.0,9.27,10.32,1711.42
6,230.28,6.91,11.06,가자미전,25.76,150.0,0.3,1.36,819.37
7,297.98,21.5,7.1,가자미조림,37.1,300.0,10.5,5.4,1692.83
8,17.95,2.09,0.75,가지나물무침,0.71,50.0,1.17,1.33,137.08
9,245.82,17.75,14.55,가지전,10.96,200.0,1.68,4.57,674.41
10,155.4,15.09,2.76,간장게장,17.56,250.0,10.53,2.75,2722.89
11,30.0,5.4,0.5,간장마늘쫑장아찌,1.0,50.0,3.9,1.6,813.64
12,740.27,10.56,46.94,간장양념닭다리구이,68.9,300.0,13.13,4.83,1628.76
13,646.67,35.75,39.2,간장양념닭다리튀김,37.71,200.0,7.41,4.28,820.61
14,543.73,42.48,32.44,간장양념치킨,20.46,200.0,10.54,0.57,1187.57
15,625.08,75.67,24.45,간짜장,25.59,500.0,4.28,7.51,2276.22
16,363.24,2.68,13.83,갈비탕,57.0,670.0,0.77,12.43,1330.59
17,275.69,1.2,10.95,갈치구이,43.07,200.0,0.0,13.38,594.47
18,100.82,6.16,2.81,갈치조림,12.72,100.0,6.29,2.63,567.55
19,94.75,4.88,2.51,갈치찌개,13.17,250.0,2.45,2.1,228.68
20,98.19,14.78,2.41,감자된장국,4.34,400.0,3.09,2.24,1429.93
21,100.18,12.41,4.84,감자볶음,1.75,100.0,3.37,1.69,318.41
22,189.19,18.37,11.98,감자샐러드,1.97,150.0,5.63,2.73,354.01
23,265.62,33.58,13.07,감자전,3.43,200.0,3.62,4.05,586.57
24,56.79,9.05,1.76,감자조림,1.2,50.0,3.84,0.91,243.52
25,139.78,17.03,6.79,감자채소볶음,2.65,130.0,0.15,2.65,270.72
26,295.63,18.37,20.89,감자크로켓,8.55,150.0,2.89,2.72,262.16
27,375.69,12.03,21.54,감자탕,33.43,530.0,0.0,12.48,1739.85
28,467.75,52.72,25.51,감자튀김,6.82,150.0,0.55,5.91,117.11
29,82.47,14.67,1.05,감잣국,3.59,400.0,3.41,2.6,859.81
30,16.53,1.88,0.54,갓김치,1.03,40.0,0.47,1.48,175.22
31,127.65,4.64,5.04,건갈치조림,15.93,100.0,5.35,2.2,1169.12
32,60.83,1.08,2.59,건새우볶음,8.31,20.0,0.81,1.45,310.78
33,44.4,3.2,2.7,건취나물무침,1.81,50.0,0.0,3.2,66.46
34,330.61,68.59,2.23,콩밥,9.06,200.0,0.0,2.25,6.87
35,415.25,31.7,12.1,게국지,44.9,1100.0,10.8,24.4,4047.26
36,564.83,107.35,7.09,게살죽,17.9,800.0,0.17,5.45,1453.82
37,319.47,74.22,0.54,경단,4.44,100.0,26.64,5.44,180.0
38,314.32,74.03,0.46,경단(콩),3.51,100.0,20.55,2.43,225.83
39,584.71,62.99,29.32,계란볶음밥,17.22,260.0,0.44,4.56,827.6
40,491.0,94.6,11.0,고구마맛탕,3.3,200.0,38.7,9.0,76.93
41,318.36,50.38,11.17,고구마전,4.09,140.0,19.97,5.09,121.43
42,41.64,2.05,3.5,고구마줄기나물무침,0.49,50.0,0.0,1.56,89.63
43,252.96,33.8,11.87,고구마튀김,2.72,100.0,7.72,2.05,148.41
44,350.25,38.28,9.8,고기만두,27.23,220.0,0.35,5.05,453.13
45,35.27,5.76,0.69,고들빼기,1.5,50.0,2.2,2.51,302.71
46,551.8,0.4,39.95,고등어구이,47.65,200.0,0.45,1.96,1210.0
47,679.62,7.57,51.37,고등어석쇠구이,46.75,200.0,0.0,4.71,252.52
48,141.01,4.1,8.84,고등어조림,11.25,100.0,3.39,2.45,389.57
49,601.62,25.6,33.7,고등어찌개,48.9,600.0,7.4,15.7,2584.06
50,513.77,10.65,39.26,고등어튀김,29.46,150.0,0.0,3.02,293.72
51,44.97,3.14,2.76,고사리나물,1.89,50.0,0.25,2.82,220.71
52,490.73,79.8,12.78,고추김밥,14.14,290.0,0.27,9.71,948.04
53,69.78,8.25,3.23,고추볶음,1.93,100.0,4.34,3.67,275.73
54,256.77,26.17,12.01,고추잡채,10.99,200.0,2.09,4.57,828.55
55,55.0,10.5,0.9,고추장마늘쫑장아찌,1.3,50.0,5.6,2.5,707.34
56,49.62,8.44,1.24,고추장아찌,1.19,60.0,0.44,2.29,1515.58
57,274.69,17.01,17.22,고추전,12.91,150.0,2.17,7.47,362.21
58,111.0,13.4,4.9,고추조림,3.3,100.0,7.1,4.0,779.1
59,202.0,14.6,12.6,고추튀김,7.6,100.0,2.3,2.2,249.15
60,79.55,6.43,4.22,고춧잎나물무침,3.97,90.0,1.36,4.9,717.04
61,521.83,98.9,9.5,곤드레나물밥,10.3,350.0,0.0,10.1,90.62
62,250.52,43.49,3.38,골뱅이국수무침,11.53,230.0,8.2,3.85,645.62
63,108.79,15.69,1.97,골뱅이무침,7.08,100.0,10.46,3.69,525.52
64,277.34,42.16,9.27,곰보빵,6.31,70.0,11.73,2.85,202.25
65,419.29,23.9,11.8,곰치국,54.3,1000.0,2.8,18.7,3802.06
66,183.25,18.1,3.7,곰탕,19.4,300.0,0.5,2.2,716.36
67,138.69,12.95,8.87,과일샐러드,1.75,140.0,13.02,4.14,47.46
68,419.79,9.13,16.62,광어매운탕,58.42,600.0,1.42,4.3,1799.02
69,418.35,58.6,8.2,국밥,27.6,800.0,0.4,10.6,2301.55
70,514.51,56.26,25.29,군만두,15.46,220.0,6.1,7.66,846.06
71,683.0,88.4,17.8,굴국밥,42.4,650.0,0.3,6.1,1635.39
72,123.09,14.63,1.82,굴무국,12.04,500.0,0.72,3.29,1253.34
73,149.16,17.76,3.77,굴무생채,11.04,300.0,12.13,7.7,1097.91
74,61.44,5.84,1.85,굴무침,5.34,80.0,2.19,2.82,162.93
75,291.73,0.14,19.9,굴비구이,28.02,150.0,0.37,1.69,1377.2
76,195.0,14.5,10.5,굴전,10.6,100.0,1.3,2.4,325.7
77,680.67,115.69,9.6,굴짬뽕,32.87,900.0,1.7,8.61,2662.35
78,38.84,2.71,1.56,근대된장국,3.49,400.0,3.31,2.17,1304.1
79,606.93,89.79,10.72,기스면,37.82,1000.0,0.5,6.87,2764.59
80,331.91,73.53,1.14,기장밥,6.87,200.0,0.0,2.9,2.79
81,219.97,48.99,0.25,기피편,5.45,100.0,2.08,5.13,281.06
82,384.91,39.75,23.78,김말이튀김,2.97,150.0,1.22,3.25,481.95
83,77.57,5.8,3.22,김무침,6.35,30.0,1.72,5.24,303.3
84,322.56,45.95,10.47,김밥,11.14,230.0,0.0,3.13,705.16
85,89.0,10.5,2.8,김치국,5.4,450.0,2.9,4.5,1642.08
86,351.43,51.76,10.88,김치김밥,11.61,270.0,0.79,4.79,942.82
87,552.0,86.2,16.9,김치라면,13.8,650.0,1.2,8.2,2531.6
88,334.15,37.44,10.47,김치만두,22.53,220.0,0.77,4.57,865.26
89,106.07,7.27,7.94,김치볶음,1.38,100.0,4.45,3.23,521.44
90,550.64,51.93,30.3,김치볶음밥,17.56,330.0,45.85,9.35,1549.8
91,500.18,99.14,4.6,김치우동,15.55,800.0,2.13,9.01,2874.6
92,201.08,28.51,6.3,김치전,7.58,150.0,6.32,3.67,360.13
93,197.79,15.34,11.41,김치전골,8.43,270.0,2.14,4.32,808.04
94,243.03,11.93,15.0,김치찌개,15.07,400.0,3.02,8.42,1962.14
95,48.33,4.61,1.86,김치콩나물국,3.27,400.0,1.97,2.37,919.38
96,90.78,10.52,3.03,김칫국,5.36,400.0,0.13,2.92,832.47
97,260.77,27.18,14.45,김튀김,5.5,50.0,0.07,6.11,303.12
98,16.4,2.12,0.53,깍두기,0.78,50.0,1.27,1.07,403.75
99,344.54,27.42,17.7,깐풍기,18.89,150.0,4.6,0.95,615.56
100,219.01,42.83,3.23,깨송편,4.65,100.0,1.98,4.38,259.75
101,515.35,79.31,15.94,깨죽,13.66,800.0,3.59,9.78,1160.19
102,31.15,4.46,0.86,깻잎김치,1.41,50.0,2.02,1.78,462.03
103,38.76,2.52,2.59,깻잎나물무침,1.34,50.0,1.02,1.2,180.79
104,206.0,11.5,14.4,깻잎나물볶음,7.5,200.0,0.6,10.4,1042.68
105,20.18,3.11,0.68,깻잎장아찌,0.41,20.0,0.71,0.64,317.18
106,361.1,14.54,25.78,깻잎전,17.74,150.0,1.06,4.6,480.15
107,97.42,5.96,5.86,깻잎찜,5.21,100.0,1.33,3.73,792.23
108,135.9,4.23,3.22,꼬리곰탕,22.51,500.0,0.0,2.53,96.89
109,192.87,13.93,4.55,꼬막찜,24.06,200.0,2.06,5.72,1472.19
110,604.84,4.27,43.37,꽁치구이,49.36,200.0,0.0,8.34,516.7
111,241.19,9.56,13.98,꽁치김치찌개,19.27,270.0,1.9,7.1,672.52
112,243.51,5.14,17.87,꽁치조림,15.52,100.0,4.05,3.56,349.67
113,355.0,12.2,23.3,꽁치찌개,24.0,300.0,5.9,9.4,1296.4
114,101.1,8.61,2.46,꽃게탕,11.13,600.0,5.71,4.85,1639.04
115,126.57,3.98,7.04,꽈리고추멸치볶음,11.81,50.0,3.12,2.98,666.95
116,103.92,17.69,2.09,꽈리고추찜,3.59,100.0,0.44,4.38,315.91
117,272.34,30.1,14.29,꽈배기,5.83,70.0,7.04,1.44,225.13
118,228.48,49.48,1.73,꿀떡,3.74,100.0,0.29,0.8,275.08
119,368.8,39.7,8.5,꿩불고기,33.5,500.0,16.9,9.8,1264.31
120,9.82,1.15,0.38,나박김치,0.46,100.0,0.34,0.81,377.45
121,75.35,2.83,1.28,낙지꼬지,13.14,80.0,0.0,0.55,207.07
122,525.24,84.42,11.69,낙지덮밥,20.58,350.0,7.55,8.06,743.31
123,138.0,7.13,2.24,낙지무침,22.33,180.0,0.26,6.8,611.79
124,182.69,17.2,7.53,낙지볶음,11.53,200.0,15.81,5.54,1074.86
125,153.42,11.16,3.42,낙지전골,19.5,300.0,0.0,4.58,1452.71
126,187.8,10.4,3.2,낙지탕,29.4,600.0,1.9,3.6,1704.69
