대분류코드,대분류구분,중분류코드,중분류구분,소분류코드,소분류구분
9,조림류,95,두류조림,9015001,(검은)콩조림
15,떡류,151,떡류,15011001,가래떡
7,"전, 부침류",71,어패류전,7011001,가자미전
9,조림류,91,어패류조림,9011001,가자미조림
11,"나물, 무침류",113,숙채류,11013001,가지나물무침
2,"면, 만두류",21,면류,2011001,간짜장
13,"장아찌, 젓갈류",131,장아찌류,13011001,간장게장
1,밥류,16,김밥/초밥,1016009,갈비삼각김밥
4,"국, 탕, 찌개류",43,곰국/탕류,4013002,갈비탕
9,조림류,91,어패류조림,9011002,갈치조림
4,"국, 탕, 찌개류",41,맑은국류,4011004,맑은감자국
1,밥류,13,채소밥류,1013001,감자밥
8,볶음류,82,채소류볶음,8012001,감자볶음
7,"전, 부침류",73,채소류전,7013001,감자전
9,조림류,94,채소류조림,9014002,감자조림
4,"국, 탕, 찌개류",43,곰국/탕류,4013003,감자탕
10,튀김류,104,"채소, 해조류튀김",10014001,감자튀김
12,김치류,121,김치류,12011001,갓김치
8,볶음류,81,어패류볶음,8011001,건새우볶음
3,"죽, 스프류",31,죽류,3011001,게살죽
15,떡류,151,떡류,15011002,경단
10,튀김류,104,"채소, 해조류튀김",10014002,고구마맛탕
11,"나물, 무침류",113,숙채류,11013011,고구마줄기나물무침
10,튀김류,104,"채소, 해조류튀김",10014003,고구마튀김
2,"면, 만두류",22,만두류,2012001,고기만두
12,김치류,121,김치류,12011002,고들빼기
9,조림류,91,어패류조림,9011003,고등어조림
4,"국, 탕, 찌개류",45,어패류찌개,4015001,고등어찌개
11,"나물, 무침류",113,숙채류,11013002,고사리나물
8,볶음류,82,채소류볶음,8012009,고추잡채
13,"장아찌, 젓갈류",131,장아찌류,13011003,고추장아찌
4,"국, 탕, 찌개류",49,기타,4019008,고추장찌개
7,"전, 부침류",73,채소류전,7013002,고추전
9,조림류,94,채소류조림,9014001,고추조림
10,튀김류,104,"채소, 해조류튀김",10014004,고추튀김
1,밥류,13,채소밥류,1013002,곤드레나물밥
11,"나물, 무침류",114,어패류무침,11014009,골뱅이국수무침
11,"나물, 무침류",114,어패류무침,11014001,골뱅이무침
4,"국, 탕, 찌개류",43,곰국/탕류,4013004,곰탕
4,"국, 탕, 찌개류",48,전골류,4018002,곱창전골
1,밥류,16,김밥/초밥,1016007,광어초밥
14,회류,141,어패류,14011004,광어회
4,"국, 탕, 찌개류",48,전골류,4018004,국수전골
2,"면, 만두류",22,만두류,2012002,군만두
4,"국, 탕, 찌개류",41,맑은국류,4011001,굴국밥
7,"전, 부침류",71,어패류전,7011002,굴전
2,"면, 만두류",21,면류,2011002,굴짬뽕
4,"국, 탕, 찌개류",42,된장국류,4012001,근대된장국
2,"면, 만두류",21,면류,2011003,기스면
1,밥류,12,잡곡밥류,1012001,잡곡밥
10,튀김류,104,"채소, 해조류튀김",10014005,김말이튀김
11,"나물, 무침류",114,어패류무침,11014002,김무침
4,"국, 탕, 찌개류",41,맑은국류,4011002,김치국
1,밥류,16,김밥/초밥,1016001,김치김밥
2,"면, 만두류",21,면류,2011004,김치라면
2,"면, 만두류",22,만두류,2012003,김치만두
2,"면, 만두류",21,면류,2011006,김치말이국수
8,볶음류,82,채소류볶음,8012002,김치볶음
1,밥류,14,"비빔밥,볶음밥류",1014001,김치볶음밥
2,"면, 만두류",21,면류,2011005,김치우동
7,"전, 부침류",73,채소류전,7013003,김치전
12,김치류,121,김치류,12011003,깍두기
10,튀김류,102,육류튀김,10012009,깐풍기
16,한과류,161,한과류,16011006,깨강정
3,"죽, 스프류",31,죽류,3011002,깨죽
12,김치류,121,김치류,12011004,깻잎김치
8,볶음류,82,채소류볶음,8012003,깻잎나물볶음
13,"장아찌, 젓갈류",131,장아찌류,13011004,깻잎장아찌
7,"전, 부침류",73,채소류전,7013004,깻잎전
4,"국, 탕, 찌개류",43,곰국/탕류,4013006,꼬리곰탕
9,조림류,91,어패류조림,9011004,꽁치조림
4,"국, 탕, 찌개류",45,어패류찌개,4015002,꽁치찌개 
4,"국, 탕, 찌개류",43,곰국/탕류,4013007,꽃게탕
15,떡류,151,떡류,15011003,꿀떡
12,김치류,121,김치류,12011005,나박김치
8,볶음류,81,어패류볶음,8011002,낙지볶음
4,"국, 탕, 찌개류",43,곰국/탕류,4013008,낙지탕
4,"국, 탕, 찌개류",43,곰국/탕류,4013009,내장탕
11,"나물, 무침류",111,생채류,11011001,노각무침
7,"전, 부침류",73,채소류전,7013005,녹두빈대떡
1,밥류,16,김밥/초밥,1016002,농어초밥
8,볶음류,82,채소류볶음,8012004,느타리버섯볶음
16,한과류,161,한과류,16011002,다식
13,"장아찌, 젓갈류",131,장아찌류,13011012,단무지
11,"나물, 무침류",111,생채류,11011002,단무지무침
4,"국, 탕, 찌개류",41,맑은국류,4011003,달걀국
7,"전, 부침류",74,기타,7014001,달걀말이
9,조림류,92,난류조림,9012001,달걀장조림
5,찜류,53,기타찜,5013001,달걀찜
11,"나물, 무침류",111,생채류,11011003,달래나물무침
6,구이류,62,육류구이,6012001,닭갈비
10,튀김류,102,육류튀김,10012001,닭강정
4,"국, 탕, 찌개류",43,곰국/탕류,4013022,닭개장
4,"국, 탕, 찌개류",43,곰국/탕류,4013010,닭곰탕
6,구이류,62,육류구이,6012002,닭꼬치
4,"국, 탕, 찌개류",43,곰국/탕류,4013011,닭볶음탕
3,"죽, 스프류",31,죽류,3011003,닭죽
2,"면, 만두류",21,면류,2011007,닭칼국수
