식품명,1회제공량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
BLT샌드위치,220g,423.85,18.56,20.9,29.56,1.31,4.28,786.82
가래떡,100g,195.16,43.73,3.92,0.51,0.0,0.61,240.57
가오리찜,200g,204.63,0.92,43.98,2.78,0.11,4.86,302.21
가오리회무침,230g,186.62,14.6,26.07,2.66,12.57,6.16,813.55
가자미구이,200g,245.31,1.32,37.4,10.04,0.0,2.99,630.39
가자미식해,250g,335.62,29.1,27.73,12.03,9.27,10.32,1711.42
가자미전,150g,230.28,6.91,25.76,11.06,0.3,1.36,819.37
가자미조림,300g,297.98,21.5,37.1,7.1,10.5,5.4,1692.83
가지나물무침,50g,17.95,2.09,0.71,0.75,1.17,1.33,137.08
가지전,200g,245.82,17.75,10.96,14.55,1.68,4.57,674.41
간장게장,250g,155.4,15.09,17.56,2.76,10.53,2.75,2722.89
간장마늘쫑장아찌,50g,30.0,5.4,1.0,0.5,3.9,1.6,813.64
간장양념닭다리구이,300g,740.27,10.56,68.9,46.94,13.13,4.83,1628.76
간장양념닭다리튀김,200g,646.67,35.75,37.71,39.2,7.41,4.28,820.61
간장양념치킨,200g,543.73,42.48,20.46,32.44,10.54,0.57,1187.57
간짜장,500g,625.08,75.67,25.59,24.45,4.28,7.51,2276.22
갈비탕,670g,363.24,2.68,57.0,13.83,0.77,12.43,1330.59
갈치구이,200g,275.69,1.2,43.07,10.95,0.0,13.38,594.47
갈치조림,100g,100.82,6.16,12.72,2.81,6.29,2.63,567.55
갈치찌개,250g,94.75,4.88,13.17,2.51,2.45,2.1,228.68
감자된장국,400g,98.19,14.78,4.34,2.41,3.09,2.24,1429.93
감자볶음,100g,100.18,12.41,1.75,4.84,3.37,1.69,318.41
감자샐러드,150g,189.19,18.37,1.97,11.98,5.63,2.73,354.01
감자전,200g,265.62,33.58,3.43,13.07,3.62,4.05,586.57
감자조림,50g,56.79,9.05,1.2,1.76,3.84,0.91,243.52
감자채소볶음,130g,139.78,17.03,2.65,6.79,0.15,2.65,270.72
감자크로켓,150g,295.63,18.37,8.55,20.89,2.89,2.72,262.16
감자탕,530g,375.69,12.03,33.43,21.54,0.0,12.48,1739.85
감자튀김,150g,467.75,52.72,6.82,25.51,0.55,5.91,117.11
감잣국,400g,82.47,14.67,3.59,1.05,3.41,2.6,859.81
갓김치,40g,16.53,1.88,1.03,0.54,0.47,1.48,175.22
건갈치조림,100g,127.65,4.64,15.93,5.04,5.35,2.2,1169.12
건새우볶음,20g,60.83,1.08,8.31,2.59,0.81,1.45,310.78
건취나물무침,50g,44.4,3.2,1.81,2.7,0.0,3.2,66.46
콩밥,200g,330.61,68.59,9.06,2.23,0.0,2.25,6.87
게국지,1100g,415.25,31.7,44.9,12.1,10.8,24.4,4047.26
게살죽,800g,564.83,107.35,17.9,7.09,0.17,5.45,1453.82
경단,100g,319.47,74.22,4.44,0.54,26.64,5.44,180.0
경단(콩),100g,314.32,74.03,3.51,0.46,20.55,2.43,225.83
계란볶음밥,260g,584.71,62.99,17.22,29.32,0.44,4.56,827.6
고구마맛탕,200g,491.0,94.6,3.3,11.0,38.7,9.0,76.93
고구마전,140g,318.36,50.38,4.09,11.17,19.97,5.09,121.43
고구마줄기나물무침,50g,41.64,2.05,0.49,3.5,0.0,1.56,89.63
고구마튀김,100g,252.96,33.8,2.72,11.87,7.72,2.05,148.41
고기만두,220g,350.25,38.28,27.23,9.8,0.35,5.05,453.13
고들빼기,50g,35.27,5.76,1.5,0.69,2.2,2.51,302.71
고등어구이,200g,551.8,0.4,47.65,39.95,0.45,1.96,1210.0
고등어석쇠구이,200g,679.62,7.57,46.75,51.37,0.0,4.71,252.52
고등어조림,100g,141.01,4.1,11.25,8.84,3.39,2.45,389.57
고등어찌개,600g,601.62,25.6,48.9,33.7,7.4,15.7,2584.06
고등어튀김,150g,513.77,10.65,29.46,39.26,0.0,3.02,293.72
고사리나물,50g,44.97,3.14,1.89,2.76,0.25,2.82,220.71
고추김밥,290g,490.73,79.8,14.14,12.78,0.27,9.71,948.04
고추볶음,100g,69.78,8.25,1.93,3.23,4.34,3.67,275.73
고추잡채,200g,256.77,26.17,10.99,12.01,2.09,4.57,828.55
고추장마늘쫑장아찌,50g,55.0,10.5,1.3,0.9,5.6,2.5,707.34
고추장아찌,60g,49.62,8.44,1.19,1.24,0.44,2.29,1515.58
